order_id,customer_id,order_date,region,segment,payment_method,channel,status,product_category,product_name,unit_price,quantity,discount_pct,gross_sales,discount_amount,net_sales,year_month
1,2126,2024-10-24,West,Budget,Card,Online,completed,Clothing,Jeans,29,3,0.05,87,4.3500000000000005,82.65,2024-10
2,2459,2024-11-12,South,Budget,Card,Online,completed,Sports,Dumbbells,15,1,0.05,15,0.75,14.25,2024-11
3,1860,2024-02-27,South,Budget,Apple Pay,Online,completed,Sports,Dumbbells,80,3,0.15,240,36.0,204.0,2024-02
4,2294,2024-02-03,South,Budget,Card,Online,completed,Electronics,Headphones,199,2,0.05,398,19.900000000000002,378.1,2024-02
5,2130,2024-09-19,South,Mainstream,Card,Online,completed,Home,Chair,49,3,0.1,147,14.700000000000001,132.3,2024-09
6,2095,2024-12-30,Northeast,Budget,Card,In-Store,completed,Clothing,T-shirt,79,2,0.0,158,0.0,158.0,2024-12
7,2044,2024-02-04,South,Mainstream,Card,Online,completed,Home,Bedding,89,2,0.0,178,0.0,178.0,2024-02
8,1121,2024-09-27,West,Mainstream,Card,In-Store,completed,Clothing,T-shirt,79,1,0.0,79,0.0,79.0,2024-09
9,1466,2024-08-14,South,Budget,Card,Online,completed,Beauty,Lotion,60,2,0.1,120,12.0,108.0,2024-08
10,2238,2024-01-25,South,Mainstream,Cash,In-Store,completed,Clothing,Dress,19,4,0.0,76,0.0,76.0,2024-01
11,1330,2024-08-21,West,Budget,Cash,Online,completed,Home,Sofa,199,2,0.1,398,39.800000000000004,358.2,2024-08
12,2482,2024-02-28,South,Budget,Apple Pay,Online,completed,Electronics,Headphones,799,3,0.05,2397,119.85000000000001,2277.15,2024-02
13,1087,2024-09-07,South,Premium,Card,In-Store,completed,Electronics,Smartwatch,499,2,0.02,998,19.96,978.04,2024-09
15,2123,2024-03-26,Northeast,Mainstream,Card,In-Store,completed,Toys,Doll,30,2,0.0,60,0.0,60.0,2024-03
16,1871,2024-09-07,Northeast,Premium,PayPal,Online,completed,Sports,Bike Helmet,80,1,0.0,80,0.0,80.0,2024-09
18,2332,2024-07-25,West,Budget,Cash,Online,completed,Clothing,T-shirt,99,4,0.1,396,39.6,356.4,2024-07
19,1769,2024-12-09,Midwest,Mainstream,Card,In-Store,completed,Electronics,Tablet,999,3,0.0,2997,0.0,2997.0,2024-12
20,1343,2024-05-28,Northeast,Mainstream,Card,Online,completed,Beauty,Skincare,25,3,0.0,75,0.0,75.0,2024-05
21,2437,2024-03-11,South,Budget,Card,Online,completed,Clothing,Dress,19,1,0.05,19,0.9500000000000001,18.05,2024-03
22,1805,2024-04-30,Northeast,Mainstream,Apple Pay,Online,completed,Groceries,Eggs,12,4,0.05,48,2.4000000000000004,45.6,2024-04
23,1385,2024-09-09,South,Budget,Card,Online,completed,Groceries,Eggs,8,3,0.15,24,3.5999999999999996,20.4,2024-09
24,2215,2024-04-02,Northeast,Mainstream,Apple Pay,Online,completed,Electronics,Headphones,499,3,0.0,1497,0.0,1497.0,2024-04
25,1955,2024-09-12,West,Mainstream,Apple Pay,Online,completed,Beauty,Perfume,35,2,0.05,70,3.5,66.5,2024-09
26,1276,2024-09-10,Northeast,Budget,Card,Online,completed,Toys,Board Game,20,3,0.15,60,9.0,51.0,2024-09
27,2184,2024-12-17,Northeast,Premium,Apple Pay,Online,completed,Electronics,Smartphone,199,3,0.0,597,0.0,597.0,2024-12
28,1459,2024-10-14,South,Mainstream,Card,Online,completed,Sports,Tennis Racket,45,1,0.0,45,0.0,45.0,2024-10
29,2337,2024-11-04,Northeast,Premium,Card,In-Store,completed,Groceries,Rice,12,2,0.0,24,0.0,24.0,2024-11
30,1021,2024-02-28,Midwest,Budget,Card,Online,completed,Electronics,Tablet,799,3,0.1,2397,239.70000000000002,2157.3,2024-02
31,1252,2024-03-09,West,Budget,Card,Online,completed,Home,Cookware,89,1,0.1,89,8.9,80.1,2024-03
33,1856,2024-09-30,South,Budget,Card,In-Store,completed,Toys,RC Car,30,1,0.0,30,0.0,30.0,2024-09
35,2082,2024-03-21,Midwest,Mainstream,Cash,Online,completed,Groceries,Eggs,12,3,0.0,36,0.0,36.0,2024-03
36,1510,2024-04-23,West,Budget,Card,Online,completed,Clothing,Dress,49,4,0.05,196,9.8,186.2,2024-04
37,2499,2024-07-02,Northeast,Budget,Card,Online,completed,Home,Bedding,399,1,0.05,399,19.950000000000003,379.05,2024-07
38,1699,2024-10-06,Northeast,Mainstream,PayPal,Online,completed,Home,Sofa,89,2,0.05,178,8.9,169.1,2024-10
39,1975,2024-11-17,Northeast,Budget,PayPal,Online,completed,Electronics,Smartphone,299,3,0.1,897,89.7,807.3,2024-11
40,1189,2024-11-13,South,Mainstream,PayPal,In-Store,completed,Clothing,Jacket,19,4,0.0,76,0.0,76.0,2024-11
41,1957,2024-02-23,Midwest,Budget,Apple Pay,Online,completed,Clothing,Jacket,49,1,0.1,49,4.9,44.1,2024-02
42,1686,2024-07-15,Northeast,Budget,Cash,Online,completed,Sports,Tennis Racket,15,3,0.1,45,4.5,40.5,2024-07
44,1562,2024-10-19,South,Mainstream,Card,In-Store,completed,Clothing,Jeans,29,2,0.0,58,0.0,58.0,2024-10
45,2267,2024-10-17,West,Mainstream,Card,Online,completed,Clothing,Jeans,79,3,0.0,237,0.0,237.0,2024-10
46,1831,2024-06-28,Northeast,Budget,Card,Online,completed,Electronics,Smartwatch,199,1,0.05,199,9.950000000000001,189.05,2024-06
